0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,class
0, 7.0710678118654755, 11.180339887498949, 14.317821063276353, 7.211102550927978, 11.180339887498949, 15.231546211727817, 20.248456731316587, 18.788294228055936, 12.727922061357855, 12.206555615733702, 54.12947441089743, 45.60701700396552, 70.21395872616783, 48.08326112068523, 35.34119409414458, 16.1245154965971, 30.23243291566195, 20.12461179749811, 26.870057685088806, 24.413111231467404, 29.0, 25.059928172283335, 44.41846462902562, 34.655446902326915,Attentive
0, 5.0990195135927845, 9.219544457292887, 13.341664064126334, 8.06225774829855, 12.083045973594572, 14.317821063276353, 20.248456731316587, 17.88854381999832, 13.45362404707371, 11.661903789690601, 56.089214649520635, 37.94733192202055, 60.41522986797286, 41.43669871020132, 30.01666203960727, 24.839484696748443, 23.345235059857504, 43.86342439892262, 23.021728866442675, 48.33218389437829, 24.698178070456937, 44.77722635447622, 49.64876634922564, 33.94112549695428,Attentive
0, 7.0710678118654755, 12.165525060596439, 16.278820596099706, 6.4031242374328485, 8.602325267042627, 12.529964086141668, 24.041630560342615, 15.264337522473747, 14.212670403551895, 10.770329614269007, 59.033888572581766, 36.05551275463989, 68.24954212300622, 35.84689665786984, 42.720018726587654, 17.08800749063506, 37.12142238654117, 26.1725046566048, 35.510561809129406, 30.479501308256342, 37.44329045369811, 29.732137494637012, 54.12947441089743, 31.240998703626616,Attentive
0, 7.0710678118654755, 11.180339887498949, 15.297058540778355, 4.47213595499958, 5.0, 6.082762530298219, 30.805843601498726, 11.313708498984761, 11.40175425099138, 10.04987562112089, 75.8023746329889, 18.439088914585774, 68.24954212300622, 31.304951684997057, 18.601075237738275, 25.612496949731394, 17.029386365926403, 31.622776601683793, 21.02379604162864, 23.853720883753127, 21.37755832643195, 23.769728648009426, 68.9492567037528, 26.40075756488817,Attentive
0, 2.23606797749979, 6.324555320336759, 9.486832980505138, 9.848857801796104, 13.92838827718412, 18.027756377319946, 15.652475842498529, 23.40939982143925, 15.811388300841896, 11.180339887498949, 64.93843238021688, 38.897300677553446, 81.04936767180853, 24.413111231467404, 18.601075237738275, 59.20304046246274, 18.384776310850235, 83.95236744726142, 23.600847442411894, 89.26925562588724, 23.259406699226016, 80.0812087820857, 47.885279575251516, 27.784887978899608,Attentive
0, 6.082762530298219, 10.198039027185569, 12.36931687685298, 8.06225774829855, 12.083045973594572, 15.231546211727817, 20.248456731316587, 18.788294228055936, 12.041594578792296, 11.661903789690601, 50.21951811795888, 39.84971769034255, 59.43904440685432, 37.69615364994153, 15.811388300841896, 43.08131845707603, 25.495097567963924, 63.60031446463138, 29.068883707497267, 67.05221845696084, 28.319604517012593, 62.03224967708329, 42.720018726587654, 31.240998703626616,Attentive
0, 8.06225774829855, 11.180339887498949, 15.297058540778355, 4.47213595499958, 7.810249675906654, 11.661903789690601, 15.652475842498529, 18.788294228055936, 9.055385138137417, 15.620499351813308, 24.596747752497688, 69.05070600652827, 46.84015371452148, 85.15867542417507, 34.438350715445125, 58.240879114244144, 31.064449134018133, 50.32891812864648, 32.202484376209235, 52.92447448959697, 31.144823004794873, 54.62600113499065, 23.53720459187964, 68.35202996254024,Attentive
0, 8.06225774829855, 11.180339887498949, 14.317821063276353, 4.47213595499958, 7.810249675906654, 11.661903789690601, 14.7648230602334, 19.697715603592208, 9.055385138137417, 15.620499351813308, 23.706539182259394, 71.02112361825881, 47.80167361086848, 83.18653737234169, 34.438350715445125, 52.49761899362675, 30.23243291566195, 43.86342439892262, 29.832867780352597, 43.829214001622255, 30.4138126514911, 46.52956049652737, 23.08679276123039, 66.48308055437865,Attentive
0, 13.038404810405298, 18.110770276274835, 21.213203435596427, 4.0, 7.0710678118654755, 12.529964086141668, 27.892651361962706, 23.40939982143925, 9.055385138137417, 16.401219466856727, 30.083217912982647, 77.92945527847606, 22.20360331117452, 127.76932339180638, 39.92492955535426, 60.166435825965294, 52.81098370604357, 49.39635614091387, 58.18934610390462, 39.44616584663204, 57.9396237474839, 46.52956049652737, 24.698178070456937, 67.4166151627327,Attentive
0, 12.041594578792296, 16.1245154965971, 20.223748416156685, 4.0, 7.0710678118654755, 11.661903789690601, 25.0, 23.40939982143925, 9.055385138137417, 17.204650534085253, 29.154759474226502, 78.91767862779544, 21.400934559032695, 128.76334882255898, 42.720018726587654, 65.0, 56.61271941887264, 55.02726596879042, 60.08327554319921, 42.941821107167776, 57.9396237474839, 48.30113870293329, 24.698178070456937, 64.62197768561404,Attentive
0, 5.0990195135927845, 7.280109889280518, 9.486832980505138, 5.656854249492381, 9.433981132056603, 13.416407864998739, 10.63014581273465, 21.540659228538015, 9.055385138137417, 14.142135623730951, 20.248456731316587, 62.16912416947821, 29.068883707497267, 69.42621983083913, 32.64965543462902, 31.38470965295043, 27.80287754891569, 18.681541692269406, 33.83784863137726, 22.825424421026653, 31.89043743820395, 26.076809620810597, 23.08679276123039, 48.373546489791295,Attentive
0, 4.123105625617661, 7.280109889280518, 9.486832980505138, 5.656854249492381, 9.433981132056603, 13.416407864998739, 9.899494936611665, 22.47220505424423, 9.0, 14.142135623730951, 24.596747752497688, 63.150613615387776, 30.870698080866262, 67.468511173732, 30.01666203960727, 30.528675044947494, 27.018512172212592, 18.973665961010276, 30.610455730027933, 23.323807579381203, 29.0, 29.068883707497267, 25.079872407968907, 48.373546489791295,Attentive
